06:44:00.845 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
06:50:17.751 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
06:50:18.963 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
06:50:19.137 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
06:50:19.653 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
06:50:20.089 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
06:50:20.411 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@107ac2b6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6e057374, org.springframework.security.web.context.SecurityContextHolderFilter@70efc3f9, org.springframework.security.web.header.HeaderWriterFilter@59c530b5, org.springframework.web.filter.CorsFilter@113b39e9, org.springframework.security.web.authentication.logout.LogoutFilter@21f8693e, pe.edu.upc.TFFinanzas.config.JwtAuthenticationFilter@1ccce165, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@69e636cc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@a59324f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@70b7fec0, org.springframework.security.web.session.SessionManagementFilter@4cb37177, org.springframework.security.web.access.ExceptionTranslationFilter@7c1a5092, org.springframework.security.web.access.intercept.AuthorizationFilter@6c524a7f]
06:50:20.655 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
06:50:20.682 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
06:50:40.312 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
06:50:40.312 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
06:50:40.314 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
06:53:14.169 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
06:53:15.225 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
06:53:15.338 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 92 ms. Found 8 JPA repository interfaces.
06:53:16.155 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
06:53:16.168 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
06:53:16.171 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
06:53:16.172 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
06:53:16.251 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
